symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,2025-08-19,2025-07-31,1.37,USD
AA,Alcoa Corp,2025-07-16,2025-06-30,0.323,USD
AABVF,AABVF,2025-09-11,2025-07-31,,USD
AACAF,AACAF,2025-08-20,2025-06-30,,USD
AACAY,AACAY,2025-08-20,2025-06-30,0.0434,USD
AACTF,AACTF,2025-07-14,2025-06-30,,USD
AAFRF,AAFRF,2025-07-24,2025-06-30,,USD
AAGFF,AAGFF,2025-09-18,2025-08-31,,USD
AAGIY,AAGIY,2025-08-20,2025-06-30,,USD
AAGRY,AAGRY,2025-07-28,2025-06-30,,USD
AAHIF,AAHIF,2025-09-22,2025-08-31,,USD
AAIGF,AAIGF,2025-08-20,2025-06-30,,USD
AAL,American Airlines Group Inc,2025-07-24,2025-06-30,0.77,USD
AALBF,AALBF,2025-07-24,2025-06-30,,USD
AAME,Atlantic American Corp,2025-08-13,2025-06-30,,USD
AAMI,BrightSphere Investment Group Inc,2025-07-30,2025-06-30,,USD
AAMMF,AAMMF,2025-08-19,2025-06-30,,USD
AANNF,AANNF,2025-08-27,2025-06-30,,USD
AAOI,Applied Optoelectronics Inc,2025-07-31,2025-06-30,0.0675,USD
AAON,AAON Inc,2025-07-31,2025-06-30,0.355,USD
AAP,Advance Auto Parts Inc,2025-08-20,2025-06-30,0.5381,USD
AAPG,Ascentage Pharma Group International,2025-07-17,2025-06-30,,USD
AAPL,Apple Inc,2025-07-31,2025-06-30,1.41,USD
AARD,Aardvark Therapeutics Inc,2025-08-14,2025-06-30,-0.68,USD
AARTY,AARTY,2025-07-24,2025-06-30,,USD
AASZF,AASZF,2025-08-21,2025-06-30,,USD
AAT,American Assets Trust Inc,2025-07-28,2025-06-30,0.1,USD
AATGF,AATGF,2025-07-14,2025-06-30,,USD
AAUC,Allied Gold Corporation,2025-08-07,2025-06-30,0.18,USD
AAUCD,AAUCD,2025-08-07,2025-06-30,0.18,USD
AAUGF,AAUGF,2025-08-28,2025-07-31,,CAD
AAUKD,AAUKD,2025-07-31,2025-06-30,,USD
AAUKF,AAUKF,2025-07-31,2025-06-30,,USD
AAVMY,AAVMY,2025-08-06,2025-06-30,,EUR
AAVVF,AAVVF,2025-07-23,2025-06-30,0.21,CAD
AAVXF,AAVXF,2025-08-11,2025-06-30,,USD
AAWH,AAWH,2025-08-07,2025-06-30,-0.07,USD
AB,AllianceBernstein Holding Lp,2025-07-24,2025-06-30,0.7633,USD
ABBNY,ABBNY,2025-07-17,2025-06-30,0.6321,USD
ABBRF,ABBRF,2025-08-27,2025-06-30,-0.02,USD
ABBV,Abbvie Inc,2025-07-23,2025-06-30,3.22,USD
ABCB,Ameris Bancorp,2025-07-23,2025-06-30,1.33,USD
ABCCF,ABCCF,2025-09-23,2025-06-30,,USD
ABCFF,ABCFF,2025-09-04,2025-06-30,,USD
ABCL,AbCellera Biologics Inc,2025-08-12,2025-06-30,-0.1415,USD
ABDBY,ABDBY,2025-07-16,2025-06-30,,USD
ABEO,Abeona Therapeutics Inc,2025-08-18,2025-06-30,-0.382,USD
ABEPF,ABEPF,2025-07-24,2025-05-31,,USD
ABEV,Ambev S.A.,2025-07-31,2025-06-30,0.0347,USD
ABG,Asbury Automotive Group Inc,2025-07-29,2025-06-30,6.76,USD
ABLZF,ABLZF,2025-07-17,2025-06-30,0.65,USD
ABM,ABM Industries Inc,2025-09-04,2025-07-31,0.9505,USD
ABMRF,ABMRF,2025-08-06,2025-06-30,0.69,EUR
ABNAF,ABNAF,2025-08-22,2025-06-30,,CAD
ABNB,Airbnb Inc - Class A,2025-08-06,2025-06-30,0.93,USD
ABOIF,ABOIF,2025-07-31,2025-06-30,,USD
ABOS,Acumen Pharmaceuticals Inc,2025-08-18,2025-06-30,-0.5308,USD
ABR,Arbor Realty Trust Inc,2025-07-25,2025-06-30,0.2325,USD
ABR-PD,ABR-PD,2025-07-31,2025-06-30,,USD
ABR-PE,ABR-PE,2025-07-31,2025-06-30,,USD
ABR-PF,ABR-PF,2025-07-31,2025-06-30,,USD
ABRMF,ABRMF,2025-08-14,2025-07-31,,USD
ABSCF,ABSCF,2025-09-30,2025-06-30,,USD
ABSI,Absci Corp,2025-08-19,2025-06-30,-0.2091,USD
ABSSF,ABSSF,2025-08-13,2025-06-30,0.03,USD
ABT,Abbott Laboratories,2025-07-17,2025-06-30,1.26,USD
ABTI,ABTI,2025-07-16,2025-06-30,,USD
ABUS,Arbutus Biopharma Corp,2025-07-31,2025-06-30,-0.044,USD
ABVX,Abivax,2025-08-11,2025-06-30,-0.68,USD
AC,Associated Capital Group Inc - Class A,2025-08-06,2025-06-30,,USD
ACA,Arcosa Inc,2025-07-30,2025-06-30,1.11,USD
ACAD,Acadia Pharmaceuticals Inc,2025-07-30,2025-06-30,0.1348,USD
ACAZF,ACAZF,2025-07-30,2025-06-30,0.25,USD
ACB,Aurora Cannabis Inc,2025-08-05,2025-06-30,0.0894,CAD
ACCFF,ACCFF,2025-08-07,2025-06-30,,USD
ACCMF,ACCMF,2025-08-14,2025-06-30,,USD
ACCO,Acco Brands Corporation,2025-07-30,2025-06-30,0.3,USD
ACCYY,ACCYY,2025-07-23,2025-06-30,,USD
ACDC,ProFrac Holding Corp Class A,2025-08-07,2025-06-30,-0.185,USD
ACDSF,ACDSF,2025-08-04,2025-06-30,,USD
ACEJF,ACEJF,2025-07-24,2025-06-30,,USD
ACEL,Accel Entertainment Inc - Class A1,2025-07-28,2025-06-30,0.2189,USD
ACET,Adicet Bio Inc,2025-08-06,2025-06-30,-0.3114,USD
ACGBF,ACGBF,2025-08-29,2025-06-30,0.19,USD
ACGL,Arch Capital Group Ltd,2025-07-28,2025-06-30,2.28,USD
ACGLN,Arch Capital Group Ltd,2025-07-28,2025-06-30,,USD
ACGLO,Arch Capital Group Ltd,2025-07-28,2025-06-30,,USD
ACGYF,ACGYF,2025-07-31,2025-06-30,0.35,USD
ACHC,Acadia Healthcare Company Inc,2025-07-29,2025-06-30,0.7044,USD
